curb weight,Engine size,Horsepower,city MPG,Highway_mpg,Price
2548,130,111,21,27,13495
2548,130,111,21,27,16500
2823,152,154,19,26,16500
2337,109,102,24,30,13950
2824,136,115,18,22,17450
2507,136,110,19,25,15250
2844,136,110,19,25,17710
2954,136,110,19,25,18920
3086,131,140,17,20,23875
2395,131,160,16,22,16430
2395,108,101,23,29,16925
2710,108,101,23,29,20970
2765,164,121,21,28,21105
3055,164,121,21,28,24565
3230,164,121,20,25,30760
3380,209,182,16,22,41315
3505,209,182,16,22,36880
1488,209,182,15,20,5151
1874,61,48,47,53,6295
1909,90,70,38,43,6575
1876,90,70,38,43,5572
1876,90,68,37,41,6377
2128,90,68,31,38,7957
1967,98,102,24,30,6229
1989,90,68,31,38,6692
1989,90,68,31,38,7609
2191,90,68,31,38,8558
2535,98,102,24,30,8921
2811,122,88,24,30,12964
1713,156,145,19,24,6479
1819,92,58,49,54,6855
1837,92,76,31,38,5399
1940,79,60,38,42,6529
1956,92,76,30,34,7129
2010,92,76,30,34,7295
2024,92,76,30,34,7295
2236,92,76,30,34,7895
2289,110,86,27,33,9095
2304,110,86,27,33,8845
2372,110,86,27,33,10295
2465,110,86,27,33,12945
2293,110,101,24,28,10345
2337,110,100,25,31,6785
1874,111,78,24,29,?
1909,90,70,38,43,?
2734,90,70,38,43,11048
4066,119,90,24,29,32250
4066,258,176,15,19,35550
3950,258,176,15,19,36000
1890,326,262,13,17,5195
1900,91,68,30,31,6095
1905,91,68,31,38,6795
1945,91,68,31,38,6695
1950,91,68,31,38,7395
2380,91,68,31,38,10945
2380,70,101,17,23,11845
2385,70,101,17,23,13645
2500,70,101,17,23,15645
2385,80,135,16,23,8845
2410,122,84,26,32,8495
2385,122,84,26,32,10595
2410,122,84,26,32,10245
2443,122,84,26,32,10795
2425,122,64,36,42,11245
2670,122,84,26,32,18280
2700,140,120,19,27,18344
3515,134,72,31,39,25552
3750,183,123,22,25,28248
3495,183,123,22,25,28176
3770,183,123,22,25,31600
3740,183,123,22,25,34184
3685,234,155,16,18,35056
3900,234,155,16,18,40960
3715,308,184,14,16,45400
2910,304,184,14,16,16503
1918,140,175,19,24,5389
1944,92,68,37,41,6189
2004,92,68,31,38,6669
2145,92,68,31,38,7689
2370,98,102,24,30,9959
2328,110,116,23,30,8499
2833,122,88,25,32,12629
2921,156,145,19,24,14869
2926,156,145,19,24,14489
2365,156,145,19,24,6989
2405,122,88,25,32,8189
2403,122,88,25,32,9279
2403,110,116,23,30,9279
1889,110,116,23,30,5499
2017,97,69,31,37,7099
1918,103,55,45,50,6649
1938,97,69,31,37,6849
2024,97,69,31,37,7349
1951,97,69,31,37,7299
2028,97,69,31,37,7799
1971,97,69,31,37,7499
2037,97,69,31,37,7999
2008,97,69,31,37,8249
2324,97,69,31,37,8949
2302,120,97,27,34,9549
3095,120,97,27,34,13499
3296,181,152,17,22,14399
3060,181,152,17,22,13499
3071,181,152,19,25,17199
3139,181,160,19,25,19699
3139,181,200,17,23,18399
3020,181,160,19,25,11900
3197,120,97,19,24,13200
3230,152,95,28,33,12440
3430,120,97,19,24,13860
3075,152,95,25,25,15580
3252,120,95,19,24,16900
3285,152,95,28,33,16695
3485,120,95,19,24,17075
3075,152,95,25,25,16630
3252,120,97,19,24,17950
3130,152,95,28,33,18150
1918,134,142,18,24,5572
2128,90,68,37,41,7957
1967,98,102,24,30,6229
1989,90,68,31,38,6692
2191,90,68,31,38,7609
2535,98,68,31,38,8921
2818,122,88,24,30,12764
2778,156,145,19,24,22018
2756,151,143,19,27,32528
2756,194,207,17,25,34028
2800,194,207,17,25,37028
2658,194,207,17,25,11850
2695,203,288,17,28,12170
2707,132,?,23,31,15040
2758,132,?,23,31,15510
2808,121,110,21,28,18150
2847,121,110,21,28,18620
2050,121,110,21,28,5118
2120,121,110,21,28,7053
2240,121,160,19,26,7603
2145,121,160,19,26,7126
2190,97,69,31,36,7775
2340,108,73,26,31,9960
2385,108,73,26,31,9233
2510,108,82,32,37,11259
2290,108,82,28,33,7463
2455,108,94,26,32,10198
2420,108,82,24,25,8013
2650,108,111,24,29,11694
1985,108,82,28,32,5348
2040,108,94,25,31,6338
2015,108,82,23,29,6488
2280,108,111,23,23,6918
2290,92,62,35,39,7898
3110,92,62,31,38,8778
2081,92,62,31,38,6938
2109,92,62,31,37,7198
2275,92,62,27,32,7898
2275,92,62,27,32,7788
2094,98,70,30,37,7738
2122,98,70,30,37,8358
2140,110,56,34,36,9258
2169,110,56,38,47,8058
2204,98,70,38,47,8238
2265,98,70,28,34,9298
2300,98,70,28,34,9538
2540,98,70,29,34,8449
2536,98,70,29,34,9639
2551,98,112,26,29,9989
2679,98,112,26,29,11199
2714,146,116,24,30,11549
2975,146,116,24,30,17669
2326,146,116,24,30,8948
2480,146,116,24,30,10698
2414,146,116,24,30,9988
2414,146,116,24,30,10898
2458,122,92,29,34,11248
2976,110,73,30,33,16558
3016,122,92,27,32,15998
3131,122,92,27,32,15690
3151,122,92,27,32,15750
2261,171,161,20,24,7775
2209,171,161,19,24,7975
2264,171,156,20,24,7995
2212,161,156,19,24,8195
2275,97,52,37,46,8495
2319,109,85,27,34,9495
2300,97,52,37,46,9995
2254,109,85,27,34,11595
2221,109,85,27,34,9980
2661,97,68,37,42,13295
2579,109,100,26,32,13845
2563,109,90,24,29,12290
2912,109,90,24,29,12940
3034,136,110,19,24,13415
2935,97,68,33,38,15985
3042,109,88,25,31,16515
3045,141,114,23,28,18420
3157,141,114,23,28,18950
2952,141,114,24,28,16845
3049,141,114,24,28,19045
3012,130,162,17,22,21485
3217,130,162,17,22,22470
3062,141,114,23,28,22625
,141,160,19,25,
,173,134,18,23,
,145,106,26,27,
,141,114,19,25,
